keyword,playlist_name,playlist_description,playlist_url,track_name,artist,artist_genres,track_url
restaurant,Restaurant Music 2025,Chill cooking dinner music. 2000s - 2025. Pop soul jazz restaurant playlist.,https://open.spotify.com/playlist/2UJd3dltnIGkMqhAbQSkbS,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,"new wave, madchester, jangle pop",https://open.spotify.com/track/0WQiDwKJclirSYG9v5tayI
restaurant,RESTAURANT MUSIC 2025 🍽  chill covers & dinner songs,"Dine, mingle, lounge cocktails, beach bar, café, cooking… Set the background mood with relaxing bossa nova &amp; jazz versions of popular hits.",https://open.spotify.com/playlist/4lAmoS7H9HzPmelN7joKG6,Dancing In the Moonlight,Bossa Nova Covers,bossa nova,https://open.spotify.com/track/5MINUtX7hvYaaWwNRrp1hl
restaurant,RESTAURANT MUSIC 2025 🍽  chill covers & dinner songs,"Dine, mingle, lounge cocktails, beach bar, café, cooking… Set the background mood with relaxing bossa nova &amp; jazz versions of popular hits.",https://open.spotify.com/playlist/4lAmoS7H9HzPmelN7joKG6,Sweet Child O' Mine,Bossa Nova Covers,bossa nova,https://open.spotify.com/track/2DHoF695nEPtbWMiqFeDTy
restaurant,RESTAURANT MUSIC 2025 🍽  chill covers & dinner songs,"Dine, mingle, lounge cocktails, beach bar, café, cooking… Set the background mood with relaxing bossa nova &amp; jazz versions of popular hits.",https://open.spotify.com/playlist/4lAmoS7H9HzPmelN7joKG6,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Junity,bossa nova,https://open.spotify.com/track/1OlxI4JNTDvYQRiC9P2rHg
restaurant,fancy restaurant music,somehow they always play 50s jazz about love,https://open.spotify.com/playlist/3petyilOTFbgqkgjEmASzk,Easy Living,Billie Holiday,"jazz, vocal jazz, jazz blues, big band",https://open.spotify.com/track/0XsbCr34semDxq0ZX84BCh
restaurant,fancy restaurant music,somehow they always play 50s jazz about love,https://open.spotify.com/playlist/3petyilOTFbgqkgjEmASzk,La vie en rose,Louis Armstrong,"jazz, swing music, big band, vocal jazz, jazz blues",https://open.spotify.com/track/5IIybI1oiOCY3DRUrpQ7zA
restaurant,Restaurant Lounge Music 2025 🍸 Background Music 🍸 Dinner Chill,"Restaurant Playlist is the perfect relaxing and cozy mix of calm and cosy dinner songs. It's perfect for your restaurant guests, or for your friday night dinner at home. Restaurant music,  Xmas, lounge music, chill music, bar music, background music, ambient beats, Christmas, Cena, Cocktail Bar",https://open.spotify.com/playlist/345eEKyGNyluygzMsS1n1H,Birds Of A Feather,Mecdoux,lounge,https://open.spotify.com/track/0Xz7tgOxs2dOR4OeD9iumx
restaurant,Restaurant Lounge Music 2025 🍸 Background Music 🍸 Dinner Chill,"Restaurant Playlist is the perfect relaxing and cozy mix of calm and cosy dinner songs. It's perfect for your restaurant guests, or for your friday night dinner at home. Restaurant music,  Xmas, lounge music, chill music, bar music, background music, ambient beats, Christmas, Cena, Cocktail Bar",https://open.spotify.com/playlist/345eEKyGNyluygzMsS1n1H,Fortnight,Mecdoux,lounge,https://open.spotify.com/track/6rUhHiwuQ4bDGzAW7bgJFT
restaurant,Chill Restaurant & Bar Vibes ,Nice mixture of music from many time eras! Throw it on and enjoy some nice upbeat rhythms as well as some good ol’ classics!,https://open.spotify.com/playlist/2sGIMIAs9jAZDvxSfaHWwc,Let's Groove,"Earth, Wind & Fire",disco,https://open.spotify.com/track/3koCCeSaVUyrRo3N2gHrd8
restaurant,Chill Restaurant & Bar Vibes ,Nice mixture of music from many time eras! Throw it on and enjoy some nice upbeat rhythms as well as some good ol’ classics!,https://open.spotify.com/playlist/2sGIMIAs9jAZDvxSfaHWwc,Blame It on the Boogie,The Jacksons,"disco, motown, philly soul",https://open.spotify.com/track/3qI94hINNNeb4S7xQi18lS
restaurant,Chill restaurant summer🌞,Clean music for your whole shift,https://open.spotify.com/playlist/3yWkEYHv3j6vkEUxm5hM3m,Gonna Make Time,The Frightnrs,"rocksteady, reggae, roots reggae, dub, lovers rock",https://open.spotify.com/track/4psPNThrZ9vmvy2gXv1XrU
restaurant,Chill restaurant summer🌞,Clean music for your whole shift,https://open.spotify.com/playlist/3yWkEYHv3j6vkEUxm5hM3m,Library Magic,The Head And The Heart,"indie folk, folk pop, folk",https://open.spotify.com/track/4HjEsfSpWo8gvZMr9SA3a1
restaurant,DINNER JAZZ 🍷 Instrumental Jazz & Bossa Nova (Restaurant Music),dinner music smooth jazz trio piano background elegant fancy cocktail cafe bar hotel lounge elevator romantic chill night relaxed evening ⚠️ NO SOCIAL MEDIA ACCOUNTS ASSOCIATED WITH THIS PROFILE. BEWARE OF SCAMS!,https://open.spotify.com/playlist/1AOMaSEZf0aChEOK6L5uI3,All of Me,New York Jazz Lounge,"jazz, jazz funk",https://open.spotify.com/track/6MnNrEq5rIjkyg6cQKVORz
restaurant,Dinner Jazz in the Background,Relaxed Dinner Jazz for RESTAURANTS or at home- elevate your dining experience with carefully selected soft instrumental Jazz and Bossa Nova,https://open.spotify.com/playlist/7MoymFSafE84j9nsKeCbzt,The Illusion That Remains,Melanie Monsoon,free jazz,https://open.spotify.com/track/1IBmTD4zganEIyaoiQEUG7
restaurant,Dinner Jazz in the Background,Relaxed Dinner Jazz for RESTAURANTS or at home- elevate your dining experience with carefully selected soft instrumental Jazz and Bossa Nova,https://open.spotify.com/playlist/7MoymFSafE84j9nsKeCbzt,Espresso in the Rain,Liza Pirelli Jazztet,free jazz,https://open.spotify.com/track/2sFwQSBfmlyT4TSyDNOigp
restaurant,Dinner Jazz in the Background,Relaxed Dinner Jazz for RESTAURANTS or at home- elevate your dining experience with carefully selected soft instrumental Jazz and Bossa Nova,https://open.spotify.com/playlist/7MoymFSafE84j9nsKeCbzt,Last Laugh Before Sunrise,Severin Sparkle Quartet,free jazz,https://open.spotify.com/track/3IeuYtHqSOjbjS9Bx4YZ8n
restaurant,Restaurant Background Music 🍸 chill covers & saxophone lounge,"Step into a lounge-like oasis with restaurant music, the ultimate playlist that blends chill covers with the sultry sounds of saxophone house. Perfect for an elegant dining ambiance or a laid-back evening, this collection melds genres to set a luxurious yet relaxing tone. Featuring handpicked tra...",https://open.spotify.com/playlist/2OxJrcgA6AQGk1sSQ8ZZ2a,As,Sunset Chasers,lounge,https://open.spotify.com/track/0nrU0pQYCNwsuRgQ1hij8D
restaurant,Restaurant Background Music 🍸 chill covers & saxophone lounge,"Step into a lounge-like oasis with restaurant music, the ultimate playlist that blends chill covers with the sultry sounds of saxophone house. Perfect for an elegant dining ambiance or a laid-back evening, this collection melds genres to set a luxurious yet relaxing tone. Featuring handpicked tra...",https://open.spotify.com/playlist/2OxJrcgA6AQGk1sSQ8ZZ2a,Fly Me To The Moon,Coral Reef,"lounge, tropical house",https://open.spotify.com/track/5BSOoJXJ23rWejTIwsou9s
restaurant,Restaurant Background Music 🍸 chill covers & saxophone lounge,"Step into a lounge-like oasis with restaurant music, the ultimate playlist that blends chill covers with the sultry sounds of saxophone house. Perfect for an elegant dining ambiance or a laid-back evening, this collection melds genres to set a luxurious yet relaxing tone. Featuring handpicked tra...",https://open.spotify.com/playlist/2OxJrcgA6AQGk1sSQ8ZZ2a,Show Me Love - Radio Edit,Sam Feldt,tropical house,https://open.spotify.com/track/4YvSRZRiLYOSOVSKOfiKpj
restaurant,Clean Restaurant Pop 2025 Weekend Night Family Friendly Playlist Mothers Day Fathers Day,"25+ hours long, adding new songs everyday to avoid overplayed songs on shift! There is literally nothing worse than hearing the same 20 songs over and over at work.",https://open.spotify.com/playlist/5pZTXjGumcg5cyqRDJ0s3M,Bluest Flame,Selena Gomez,pop,https://open.spotify.com/track/41goAg1ZxePWjXXfZ7PhG7
